,city,lat,maxtemp,humidity,cloudiness,windspeed
0,stokmarknes,68.56,59,67,20,8.05
1,hilo,19.71,80.01,83,20,4.7
2,sao joao da barra,-21.64,82.4,36,0,6.93
4,maceio,-9.67,75.2,88,75,19.46
5,bredasdorp,-34.53,59,72,0,13.87
6,eureka,40.8,70,87,75,5.82
7,manggar,-2.88,76.71,90,18,4.38
8,esperance,-33.86,48.2,100,40,6.93
9,klaksvik,62.23,53.6,93,83,16.11
10,norman wells,65.28,53.6,76,90,10.29
11,punta arenas,-53.16,41,100,90,12.75
12,hithadhoo,-0.6,84.81,73,49,11.01
13,vaini,15.34,76.89,90,100,0.87
14,pevek,69.7,47.73,65,48,7.94
15,chuy,-33.69,58.71,84,100,7.67
17,ushuaia,-54.81,39.2,86,75,20.8
18,port alfred,-33.59,68,78,0,7
19,rikitea,-23.12,73.65,82,69,17.27
20,hobart,-42.88,44.6,87,75,12.75
21,bambous virieux,-20.34,69.8,73,20,8.05
22,jamestown,-33.21,50.97,83,100,18.03
23,boende,-0.28,74.01,86,100,1.97
24,port-cartier,50.03,60.8,59,75,16.11
25,atuona,-9.8,80.85,78,59,20.78
26,east london,-33.02,64.4,88,0,10.29
27,busselton,-33.64,48.99,70,61,12.26
28,grand gaube,-20.01,69.8,73,20,8.05
30,albany,42.65,82.99,74,90,10.29
31,hambantota,6.12,82.83,82,65,15.57
32,ahipara,-35.17,61.23,83,42,24.52
33,sao gabriel da cachoeira,-0.13,82.4,74,40,2.24
34,sur,22.57,86.79,49,74,9.82
35,yellowknife,62.45,60.8,67,90,5.82
36,kollam,8.88,80.6,88,40,4.7
37,axim,4.87,76.17,84,100,12.15
38,airai,-8.93,66.99,78,0,5.46
39,puerto ayora,-0.74,77,69,75,17.22
41,port hardy,50.7,57.2,93,75,8.05
42,qaanaaq,77.48,45.93,47,5,4.29
43,katsuura,33.93,75.2,100,75,2.86
45,sao filipe,14.9,72.21,82,50,11.99
46,tuktoyaktuk,69.44,39.2,86,90,13.87
47,mataura,-46.19,43,93,82,4
48,jalu,29.03,97.23,13,0,8.43
50,kodiak,39.95,82,27,40,9.17
52,bluff,-23.58,54.75,56,0,1.61
54,inirida,3.87,83.19,65,92,3.4
55,kidal,18.44,106.23,12,38,10.6
56,warmbad,50.67,72,45,20,5.82
58,nemuro,43.32,52.41,91,100,13.8
59,sayyan,15.17,74.19,49,92,5.12
60,santa vitoria do palmar,-33.52,61.95,80,100,3.27
61,vao,59.1,51.51,63,28,3.89
62,rivera,-30.9,67.35,82,100,9.26
63,sitka,37.17,81,55,14,1.01
64,avarua,-21.21,66.2,100,0,3.36
65,ostrovnoy,68.05,39.81,96,100,30.33
66,ribeira grande,38.52,75.2,73,20,5.82
67,forio,40.73,84.2,37,0,10.29
68,buin,-33.73,51.8,57,75,2.24
69,la paz,24.15,93.2,26,5,0.47
71,kudahuvadhoo,2.67,84.27,72,99,9.73
72,ilorin,8.5,75.99,83,100,1.39
74,saskylakh,71.97,53.67,95,100,1.9
75,dikson,73.51,32.97,96,100,3.98
77,kapaa,22.08,78.8,78,40,11.41
78,los llanos de aridane,28.66,75.2,69,75,12.75
79,saint-philippe,45.36,78.8,94,75,5.82
80,castro,-42.48,44.6,100,90,16.11
81,sandwick,54.57,68,72,26,21.92
82,tailai,46.39,65.91,88,96,6.15
83,storforshei,66.4,66.2,59,0,8.05
84,ancud,-41.87,44.6,100,90,16.11
85,ruidoso,33.33,95,60,40,6.93
86,paranapanema,-23.39,72.03,43,34,3.13
88,porto seguro,-16.44,73.4,62,90,4.7
89,nanortalik,60.14,40.17,91,99,6.13
91,carnarvon,-30.97,58.71,19,0,12.48
92,hermanus,-34.42,59,89,69,13.44
93,acapulco,16.86,86,70,40,6.93
95,iqaluit,63.75,42.8,87,75,11.41
96,rincon,8.46,86,70,40,5.82
97,wuan,31.68,76.53,75,100,3.56
98,salalah,17.01,82.4,83,90,13.87
99,dingle,11,74.91,86,36,2.04
100,manta,45.1,61.23,73,46,3.67
101,butaritari,3.07,83.91,75,47,10.96
102,tigzirt,36.57,85.35,33,0,6.4
103,sokolo,14.74,96.69,28,0,2.66
104,filingue,14.35,100.11,23,86,8.21
105,north bend,43.41,66,93,90,3.36
109,tiksi,71.64,54.03,58,90,10.98
111,paciran,-6.9,69.33,91,42,4.12
112,nikolskoye,59.7,57.2,44,0,4.47
113,nanchang,28.68,73.65,84,92,0.85
114,bethel,60.79,62.6,93,40,9.69
115,hamilton,43.26,89.01,55,20,13.87
116,coihaique,-45.58,44.6,93,90,4.7
117,komsomolskiy,67.55,57.45,88,52,8.81
118,padang,-0.92,83.19,74,47,4.61
119,aklavik,68.22,46.4,70,90,10.29
120,cape town,-33.93,59,77,20,4.7
121,monrovia,6.33,75.2,94,75,12.03
122,miyako,33.63,77,69,75,11.41
123,muros,42.77,87.01,61,0,11.41
125,ulladulla,-35.36,57.99,50,40,12.75
126,hanzhong,33.08,64.83,98,100,0.87
127,cherskiy,68.75,74.19,46,66,4.18
128,hasaki,35.73,66.2,93,75,2.24
129,georgetown,6.8,84.2,88,75,6.93
130,vanimo,-2.67,79.59,80,95,7.78
131,lensk,60.71,60.69,88,44,2.04
132,shaunavon,49.65,72.57,59,24,12.71
133,faanui,-16.48,77.97,69,0,9.13
136,dudinka,69.41,53.6,66,0,6.71
137,basco,40.33,81,69,90,8.05
138,necochea,-38.55,59,74,100,7
139,sahuaripa,29.05,101.91,23,22,2.89
140,barrow,-38.31,58.89,59,100,0.96
141,pacific grove,36.62,75.99,82,90,4.7
142,almendralejo,38.68,102.2,16,0,5.82
143,egvekinot,66.32,69.51,28,0,3.96
145,olmos,-5.99,81.21,43,0,14.36
146,ifanadiana,-21.3,61.05,98,48,2.3
147,evensk,61.92,63.75,69,0,2.77
148,tibiri,13.57,89.6,55,20,11.41
149,upernavik,72.79,44.85,72,83,4.92
150,mar del plata,-46.43,46.65,54,24,13.4
151,pangnirtung,66.15,57.2,71,75,10.29
152,eyl,7.98,81.03,61,62,24.02
153,yining,29.04,73.11,92,100,1.57
154,omboue,-1.57,73.29,89,94,10.47
155,puerto del rosario,28.5,82.4,48,20,14.99
157,mwene-ditu,-7.01,74.19,32,20,2.15
158,kruisfontein,-34,54.75,83,0,12.71
159,geraldton,49.72,64.4,48,40,12.75
160,longyearbyen,78.22,44.6,87,75,6.93
161,batagay-alyta,67.8,54.21,75,68,1.36
163,makakilo city,21.35,78.01,94,40,13.02
164,santa pola,38.19,95,54,0,8.05
165,weihe,32.99,56.55,94,100,3.56
166,mangochi,-14.48,60.15,52,37,5.08
168,mehamn,71.03,51.8,57,0,12.75
169,ust-kuyga,70,54.39,71,25,3.31
171,nago,45.88,82.4,44,40,3.36
172,moctezuma,29.81,91.47,26,67,3.58
173,fortuna,40.6,70,93,90,5.82
174,husavik,50.56,80.01,43,72,8.99
175,isangel,-19.55,74.01,81,38,12.64
176,kamenka,48.03,64,64,65,7.9
177,taltal,-25.41,56.37,73,32,4.54
179,samarai,-10.62,69.33,84,100,9.4
180,provideniya,64.42,67.17,49,0,0.92
181,visby,57.64,63,63,0,6.93
182,torbay,47.66,52,93,90,13.87
183,arraial do cabo,-22.97,77,50,0,5.82
184,roswell,33.39,86,48,1,3.36
185,launceston,-41.43,51.01,87,90,19.46
186,amga,60.89,61.41,94,40,1.41
187,yandyki,45.77,81.21,55,34,10.22
188,ponta do sol,-20.63,70.59,39,0,5.84
189,touros,-5.2,84.2,66,40,18.34
190,ghanzi,-21.7,61.59,22,0,4.99
191,mantua,45.16,82.4,44,40,3.36
192,olinda,-37.84,57,62,75,17.22
193,souillac,45.6,84.2,30,0,16.11
194,namatanai,-3.66,77.79,82,100,19.8
195,jaguaribe,-5.88,84.99,51,74,5.7
196,cadillac,44.25,75,68,90,9.17
197,coahuayana,18.62,82.29,72,100,1.28
198,northam,-31.65,46.4,93,5,3.13
199,talnakh,69.49,53.6,66,0,6.71
200,college,64.86,70,93,90,5.82
201,alofi,-19.06,75.2,94,35,13.87
202,viedma,-40.81,58.89,42,100,6.31
203,pala,9.37,70.41,95,100,2.98
204,bay roberts,47.58,52,87,90,9.17
205,le port,42.87,87.8,31,20,11.41
206,malangali,-8.57,68.61,50,37,11.3
207,meulaboh,4.14,84.45,70,90,4.97
208,san patricio,-26.98,77.61,59,12,5.99
209,bumba,2.18,72.21,91,73,2.89
210,port elizabeth,39.31,90,70,20,8.05
211,nome,30.04,93,70,1,6.93
212,moron,18.56,83.19,76,61,9.55
213,imeni babushkina,59.76,47.19,81,96,1.7
214,warrnambool,-38.38,54,93,99,8.01
215,nouadhibou,20.93,77,61,10,21.92
216,gimli,50.63,80.01,43,89,8.99
218,hovd,63.83,63,67,0,8.05
219,lorengau,-2.02,77.79,83,98,7.81
220,flinders,-34.58,57.99,50,40,12.75
221,ahar,38.48,68.79,53,0,3.85
222,atasu,48.68,74.19,30,92,12.55
223,tasiilaq,65.61,44.6,75,40,10.29
224,lake city,38.03,87.01,15,1,4.7
225,banjar,-7.37,68.07,97,95,1.1
226,yumen,40.29,75.99,20,0,11.03
227,flin flon,54.77,57.2,87,90,9.17
228,santiago del estero,-27.8,74.01,50,2,4
229,mahebourg,-20.41,69.8,73,20,8.05
230,lewistown,40.39,84,73,90,8.05
231,tautira,-17.73,75.2,83,75,4.7
232,saint-joseph,43.56,89.6,74,73,9.17
233,maniitsoq,65.42,46.11,83,54,6.69
234,villamontes,-21.26,77,61,75,9.17
235,reconquista,-29.14,76.35,55,100,7.36
236,balikpapan,-1.24,71.31,99,57,2.55
237,antofagasta,-23.65,59,67,90,6.93
238,angol,-37.8,46.4,100,90,2.3
239,severo-kurilsk,50.68,42.69,96,100,11.21
240,kupang,-10.16,75.81,76,12,17.74
241,pisco,-13.71,71.6,30,40,6.93
242,talakan,50.29,60.87,91,100,2.98
243,borogontsy,62.67,63.75,80,0,2.42
244,takahagi,36.74,66.2,93,75,2.24
245,aksha,50.28,58.53,73,58,4.63
246,atambua,-9.11,76.17,74,0,17.18
247,manali,32.25,46.11,81,97,3
248,guaruja,-23.99,73.4,64,0,9.17
249,kieta,-6.22,78.69,84,100,11.99
250,moranbah,-22,56.01,57,0,5.99
251,asbestovskiy,57.76,57.99,79,49,5.48
252,sola,-3.17,75.99,37,68,12.17
253,victoria,5.28,78.8,88,75,2.24
254,general teran,25.27,97.41,27,0,7.92
255,kavieng,-2.57,81.75,78,100,13.22
256,kisangani,0.52,71.85,93,100,1.9
257,cabo san lucas,22.89,96.01,51,5,4.7
258,nuuk,64.17,50,76,75,4.7
259,drumnadrochit,57.34,60.8,93,75,5.82
260,russell,38.9,86,50,1,6.46
261,mehran,33.12,89.6,18,0,11.41
262,thompson,55.74,55.4,93,90,6.93
263,clyde river,70.47,46.4,81,75,13.87
264,new norfolk,-42.78,44.6,87,75,12.75
265,idrinskoye,54.37,55.11,85,98,5.93
267,doctor juan leon mallorquin,-25.4,78.8,44,0,6.93
268,alice town,25.72,84.81,73,48,12.95
269,padong,18.05,80.49,74,0,3.44
270,kortkeros,61.81,53.6,87,40,2.24
271,aswan,24.09,102.2,17,0,11.41
272,chokurdakh,70.62,56.19,93,99,13.65
273,kharovsk,59.95,42.51,76,64,0.49
275,muisne,0.61,84.2,79,75,4.7
276,moose factory,51.26,51.8,93,90,14.99
278,kaitangata,-46.28,41,90,70,4
279,gopalur,16.62,80.31,71,100,11.3
280,iranshahr,27.21,95,30,40,18.34
281,nalut,31.86,93.81,29,0,19.08
282,pangody,65.85,61.59,90,99,18.86
284,santiago de cao,-7.96,66.2,82,20,11.41
285,straumen,63.87,63,67,0,8.05
286,fukue,35.03,69.8,94,75,9.17
287,tevriz,57.51,67.35,72,92,7.38
289,lavrentiya,65.58,65.01,47,17,5.68
290,saint anthony,43.97,77,49,1,6.22
